firm_id,ticker,eligible_for_main_design,four_years_observed,years_above_threshold,pillar_two_scope_proxy,pre_policy_exposure_score,exposure_component_count,exclusion_reason
FIRM_AAPL,AAPL,True,4,4,1,0.1764139312683001,2.0,
FIRM_ABNB,ABNB,True,4,4,1,0.4889813530590229,3.0,
FIRM_ACN,ACN,True,4,4,1,0.4578373015873015,2.0,
FIRM_ADBE,ADBE,True,4,4,1,0.5260408640263009,3.0,
FIRM_ADI,ADI,True,4,4,1,0.6829024759850002,3.0,
FIRM_AGYS,AGYS,True,4,0,0,0.7225240149997432,3.0,
FIRM_ALIT,ALIT,False,3,3,0,,1.0,incomplete_four_year_revenue_or_exposure_components
FIRM_ALRM,ALRM,False,2,2,0,0.6588650023116043,3.0,incomplete_four_year_revenue_or_exposure_components
FIRM_AMAT,AMAT,True,4,4,1,0.3598172548415266,3.0,
FIRM_AMD,AMD,True,4,4,1,0.8433631273437099,3.0,
FIRM_AMPL,AMPL,True,4,0,0,0.4580443828016643,2.0,
FIRM_AMZN,AMZN,False,4,4,1,,1.0,incomplete_four_year_revenue_or_exposure_components
FIRM_APH,APH,True,4,4,1,0.5381944444444444,2.0,
FIRM_API,API,True,4,0,0,0.7622226074895978,2.0,
FIRM_APPF,APPF,True,4,0,0,0.5930998613037448,2.0,
FIRM_APPN,APPN,True,4,0,0,0.4780253120665741,2.0,
FIRM_ASAN,ASAN,False,1,0,0,,,incomplete_four_year_revenue_or_exposure_components
FIRM_ASML,ASML,False,2,2,0,0.3375006421122926,3.0,incomplete_four_year_revenue_or_exposure_components
FIRM_ASYS,ASYS,True,4,0,0,0.3770098114758308,3.0,
FIRM_ATEN,ATEN,True,4,0,0,0.4497258180510606,3.0,
FIRM_AUDC,AUDC,True,4,0,0,0.3905808547798839,3.0,
FIRM_AVGO,AVGO,True,4,4,1,0.710397724354035,3.0,
FIRM_AWRE,AWRE,False,2,0,0,0.608876560332871,2.0,incomplete_four_year_revenue_or_exposure_components
FIRM_AXTI,AXTI,True,4,0,0,0.1149445214979195,2.0,
FIRM_BAND,BAND,True,4,0,0,0.7742461601684902,3.0,
FIRM_BIRD,BIRD,False,2,0,0,,1.0,incomplete_four_year_revenue_or_exposure_components
FIRM_BL,BL,True,4,0,0,0.6037621359223301,2.0,
FIRM_BOX,BOX,False,1,1,0,,0.0,incomplete_four_year_revenue_or_exposure_components
FIRM_CALX,CALX,False,2,2,0,0.3253358247290286,3.0,incomplete_four_year_revenue_or_exposure_components
FIRM_CDNS,CDNS,False,3,3,0,0.6024393845995787,3.0,incomplete_four_year_revenue_or_exposure_components
