Ticker,2020,2021,2022,2023,four_years_observed,years_above_threshold,pillar_two_four_year_scope_proxy,median_pre_policy_revenue_eur,threshold_distance_log,FiscalYear,ETR,low_tax_gap,RD_Intensity,Intangible_Ratio,Firm_Size,Leverage,exposure_component_count,pre_policy_tax_exposure_score,pillar_two_exposure_intensity,eligible_for_main_design
AAPL,252553800000.0,336551640000.0,362781760000.0,352622200000.0,4,4,1,344586920000.0,6.130028438773569,2022.0,0.16204461684424407,0.0,0.06657148363798665,,26.589039601923314,0.8563535598361469,2.0,0.17345587017718164,0.17345587017718164,True
ABNB,3107760000.0,5512640000.0,7727080000.0,9123640000.0,4,4,1,6619860000.0,2.177756294140821,2022.0,0.048265460030165915,0.10173453996983409,0.17883081319204666,0.04264870931537598,23.498226743331248,0.6533233570270607,3.0,0.49478545219314335,0.49478545219314335,True
ACN,40780875880.0,46490717880.0,56666760600.0,58982805400.0,4,4,1,51578739240.0,4.23079162979896,2022.0,0.24001380140225814,0.0,,0.3187266296387119,24.579001836983252,0.5187165372606578,2.0,0.4593994178029722,0.4593994178029722,True
ADBE,11838560000.0,14522200000.0,16197520000.0,17856280000.0,4,4,1,15359860000.0,3.0194396855464354,2022.0,0.20838881491344874,0.0,0.16965807111212086,0.524056690594515,24.025195216949896,0.4827535431621572,3.0,0.5299359975321366,0.5299359975321366,True
ADI,5154811520.0,6732823120.0,11052836760.0,11321095880.0,4,4,1,8892829940.0,2.4729273997807826,2022.0,0.1130094757594113,0.0369905242405887,0.14154525159204467,0.7987408142959523,24.641317632642682,0.27507714848312254,3.0,0.6864028673435753,0.6864028673435753,True
AGYS,147896440.0,126201920.0,149625120.0,182219800.0,4,0,0,148760780.0,-1.6177336941422478,2022.0,,,,,,,0.0,,,False
ALIT,2509760000.0,,2030440000.0,2195120000.0,3,3,0,2195120000.0,1.0739187871884541,2022.0,,,,0.6720961281708945,23.142299742583702,0.5470404984423676,1.0,,,False
ALRM,,,775154280.0,811147440.0,2,2,0,793150860.0,0.055940236607703545,2022.0,0.01699856872758115,0.13300143127241884,0.25948924645039695,0.1734958157028679,21.007974743918776,0.5314738128819935,3.0,0.6688616412838874,0.0,False
AMAT,15825840000.0,21217960000.0,23722200000.0,24395640000.0,4,4,1,22470080000.0,3.3998667189453067,2022.0,0.14133438610343466,0.008665613896565338,0.10746558076401008,0.15112624410686223,24.00890271130528,0.5437401781037192,3.0,0.3618530434831952,0.3618530434831952,True
AMD,8981960000.0,15119280000.0,21712920000.0,20865600000.0,4,4,1,17992440000.0,3.1776337421232417,2022.0,0.0,0.15,0.21206728528452184,0.7146345072506659,24.936577918232555,0.18984906777153004,3.0,0.8438341331707351,0.8438341331707351,True
AMPL,94266880.0,153880120.0,219021640.0,254181280.0,4,0,0,186450880.0,-1.3919053801526526,2022.0,,,0.3385139477542036,0.014730939807373928,19.840784569174673,0.2870926031105364,2.0,0.45657509676201263,0.0,True
AMZN,355178880000.0,432236240000.0,472864360000.0,528802200000.0,4,4,1,452550300000.0,6.402580989634917,2022.0,,,,0.05702707083806127,26.860290700710223,0.6843507861890096,1.0,,,False
APH,7910988000.0,10006196000.0,11613160000.0,11550324000.0,4,4,1,10778260000.0,2.66521321488608,2022.0,0.22314987436167627,0.0,,0.4684918636061124,23.45282961912891,0.5371259672978299,2.0,0.5388386701394209,0.5388386701394209,True
API,122878880.0,154543440.0,147816400.0,130214960.0,4,0,0,139015680.0,-1.6854864740063595,2022.0,,,0.7126532644550942,0.25339727618441016,20.501015636475483,0.09048787646041351,2.0,0.7652223166241858,0.0,True
APPF,285251520.0,330620400.0,434132360.0,570809400.0,4,0,0,382376380.0,-0.6736677950432448,2022.0,,,0.2354778620971724,0.2523706970045932,19.75887932476254,0.303425607987052,2.0,0.5993108656660058,0.0,True
APPN,280207160.0,339718280.0,430551720.0,501733960.0,4,0,0,385135000.0,-0.6664792843550384,2022.0,,,0.2974629853992919,0.05317949425627804,20.202750081805764,0.7548021419892497,2.0,0.4827244406683659,0.0,True
ASAN,,,,503435040.0,1,0,0,503435040.0,-0.3986185195769602,,,,,,,,,,,False
ASML,,,21173400000.0,27558500000.0,2,2,0,24365950000.0,3.4808687383421635,2022.0,0.1502300150245504,0.0,0.15365978066819688,0.14870359555266607,24.31509459744025,0.7572809115051073,3.0,0.342013155403687,0.0,False
ASYS,60225960.0,78388600.0,97794160.0,104249800.0,4,0,0,88091380.0,-2.1416985217350146,2022.0,0.07548575991482566,0.07451424008517434,0.060114019078439856,0.0893105875657136,18.709866685026654,0.2633486602662992,3.0,0.381923004107775,0.0,True
ATEN,207484840.0,230038640.0,257910960.0,231564000.0,4,0,0,230801320.0,-1.1785159526753315,2022.0,0.11017527885272024,0.03982472114727975,0.2083128223787,0.0035409978190487803,19.726591714372848,0.5095921214830468,3.0,0.4539006323899843,0.0,True
AUDC,203112080.0,229006400.0,253085560.0,224832360.0,4,0,0,226919380.0,-1.1954784063161594,2022.0,0.16724687710265337,0.0,0.2175337067827971,0.12082228075755563,19.595732332735153,0.4140153351593887,3.0,0.3968921635537232,0.0,True
AVGO,21976960000.0,25254000000.0,30546760000.0,32953480000.0,4,4,1,27900380000.0,3.6163223812580334,2022.0,0.07551873894161171,0.07448126105838829,0.14814926362075717,0.6925009215142869,25.017130432873266,0.689975289765048,3.0,0.7147322259931421,0.7147322259931421,True
AWRE,,,14727360.0,16784480.0,2,0,0,15755920.0,-3.862857038865407,2022.0,,,0.5768365817091454,0.11576027504297547,17.751093827801434,0.21454524144397563,2.0,0.6141791749268385,0.0,False
AXTI,87732120.0,126401560.0,129828560.0,69731400.0,4,0,0,107066840.0,-1.9466198941981536,2022.0,,,0.0985912498759903,0.005204392658725869,19.729208139266067,0.21705505955597829,2.0,0.11465118474464268,0.0,True
BAND,315663960.0,451634440.0,527299840.0,553027640.0,4,0,0,489467140.0,-0.4267558765373002,2022.0,0.0,0.15,0.1709668639383619,0.542091081847118,20.649961541757826,0.7071217817797568,3.0,0.7782562358171368,0.0,True
BIRD,,,273944720.0,233739800.0,2,0,0,253842260.0,-1.0833601560489103,2022.0,,,,0.0002876521528492703,19.95186301762033,0.314892595444282,1.0,,,False
BL,323598040.0,391649520.0,481102960.0,542796320.0,4,0,0,436376240.0,-0.5415683995165265,2022.0,,,0.2082330983787753,0.29161281625966734,21.387836572593812,0.930150705680429,2.0,0.6060134050788256,0.0,True
BOX,,,,911604080.0,1,1,0,911604080.0,0.19513256647837113,2022.0,,,,,,,0.0,,,False
CALX,,,798400840.0,956425560.0,2,2,0,877413200.0,0.1569048265381008,2022.0,0.24114577550793828,0.0,0.152097134567143,0.1312956652935293,20.600911744912015,0.23198449428424509,3.0,0.3324156224416681,0.0,False
CDNS,,2468259720.0,3276780560.0,3762787120.0,3,3,0,3276780560.0,1.4745434762399923,2022.0,0.18788784374423048,0.0,0.3513877291801316,0.3365507309515481,22.359748909632504,0.46562681341176715,3.0,0.60205909769262,0.0,False
CEVA,,,110936360.0,89625480.0,2,0,0,100280920.0,-2.0120977589704205,2022.0,1.0,0.0,0.5831419022581956,0.19188696740392036,19.547044377151302,0.16071416992497778,3.0,0.5446312365264411,0.0,False
CHKP,1899708000.0,1993456000.0,2143508000.0,2221524000.0,4,4,1,2068482000.0,1.0144970773753073,2022.0,0.141549068189163,0.008450931810837004,0.1501781192325851,0.22629611514812745,22.468073451278674,0.48831400223588595,3.0,0.4639753337470512,0.4639753337470512,True
CIEN,3249584440.0,3331029280.0,3342048120.0,4035625080.0,4,4,1,3336538700.0,1.4926160247270055,2022.0,0.16220377523903454,0.0,0.1719554893781721,0.07847492677969525,22.34653406808874,0.46488009386085616,3.0,0.32819900140261715,0.32819900140261715,True
CLSK,9226404.92,36144136.6,121003000.0,154935360.0,4,0,0,78573568.3,-2.256037844820871,2022.0,,,,0.014327533830433581,19.93057452605008,0.10740237503452085,1.0,,,False
CMBM,,,273147080.0,202579400.0,2,0,0,237863240.0,-1.1483773198660274,2022.0,0.0,0.15,0.16795273813653802,0.10188449577305891,19.411937936516342,0.46050649071112065,3.0,0.5625477490806127,0.0,False
COGN,,0.0,0.0,,2,0,0,0.0,-inf,2022.0,,,1.0,,13.276636906828124,3.0,1.0,,,False
COHU,,,747753000.0,585416240.0,2,0,0,666584620.0,-0.11790611323011736,2022.0,0.23571005800418263,0.0,0.11391713573867307,0.2881203896973637,20.92817535407876,0.24325370249972708,3.0,0.3751167772923556,0.0,False
COUR,270030120.0,382064040.0,481855520.0,584936000.0,4,0,0,431959780.0,-0.5517407244723441,2022.0,,,0.31528803488647383,0.009025988896123563,20.669439864351112,0.26701435314801547,2.0,0.4371282922684792,0.0,True
CRM,,,,28843840000.0,1,1,0,28843840000.0,3.6495785244100603,2022.0,,,,,,,0.0,,,False
CRSR,,,1265090160.0,1343085000.0,2,2,0,1304087580.0,0.5531856962776244,2022.0,,,0.04835509905475828,0.4347690682947323,20.983508621897506,0.494749257079426,2.0,0.42787689983951666,0.0,False
CRWD,,,,2061937120.0,1,1,0,2061937120.0,1.0113279629162037,,,,,,,,,,,False
CSCO,45356920000.0,45832560000.0,47432440000.0,52438160000.0,4,4,1,46632500000.0,4.129979795388362,2022.0,0.18408510050424812,0.0,0.1313885602343038,0.4348098976617519,25.266581895585816,0.5768919810216804,3.0,0.46124283538103056,0.46124283538103056,True
CXM,,,,568734800.0,1,0,0,568734800.0,-0.27665896189704775,2022.0,,,,,,,0.0,,,False
DBD,3590116000.0,3592784000.0,3183844000.0,,3,3,0,3590116000.0,1.5658665864076635,2022.0,,,0.03487733695495131,0.31318107667210443,21.843313406334588,1.4473409461663949,2.0,0.3274804115925611,0.0,False
DCO,578625720.0,593779960.0,655534040.0,696432640.0,4,0,0,624657000.0,-0.1828705074397935,2022.0,0.13603625232579078,0.013963747674209215,,0.3236476339835498,20.744543845919825,0.4851131564572308,2.0,0.6034165772943159,0.0,True
DDOG,,,1541092000.0,1958090280.0,2,2,0,1749591140.0,0.8470641988047479,2022.0,,,0.44913796191272165,0.12135106820568867,21.82349415247278,0.5305908577194484,2.0,0.6134239592183517,0.0,False
DGII,256929320.0,283941440.0,357167000.0,409261080.0,4,0,0,320554220.0,-0.8500217713108713,2022.0,0.0,0.15,0.14192285401506857,0.7524824480761686,20.5653187933741,0.41267603159639066,3.0,0.7658895785906664,0.0,True
DMRC,,,27781240.0,32062920.0,2,0,0,29922080.0,-3.221476537123816,2022.0,,,0.8772394608735967,0.3638608857677738,18.549750950266642,0.14226952723309633,2.0,0.8450391768148777,0.0,False
DOCN,292909600.0,394276120.0,530216240.0,637453280.0,4,0,0,462246180.0,-0.4839756002237151,2022.0,,,0.24966077991123017,0.23908822883063793,21.31969890264625,0.9738002931212344,2.0,0.6051165864249977,0.0,True
DOMO,,,,283953400.0,1,0,0,283953400.0,-0.9712630663395279,,,,,,,,,,,False
DSS,14136720.0,18653000.0,43522440.0,23858360.0,4,0,0,21255680.0,-3.5634490527589917,2022.0,,,0.044251840890673994,0.3659000060261535,19.332622030688682,0.3705441616616114,2.0,0.38973850656093645,0.0,True
EGHT,410538040.0,489756480.0,587079600.0,684422960.0,4,0,0,538418040.0,-0.33143792207469613,2022.0,,,,,,,0.0,,,False
ENVX,0.0,,0.0,7032480.0,3,0,0,0.0,-inf,2022.0,,,1.0,0.0,19.903616216975212,0.19101605588920212,2.0,0.5021476446710091,0.0,False
ESTC,,,,983469880.0,1,1,0,983469880.0,0.27101380551205023,,,,,,,,,,,False
FIVN,400115360.0,560823720.0,716538320.0,837648960.0,4,1,0,638681020.0,-0.16066806301622774,2022.0,,,0.18205652978894415,0.15557600131781418,20.941987626665934,0.7509290991856069,2.0,0.4542150476729916,0.0,True
FORM,638126720.0,708100080.0,688102040.0,610053840.0,4,0,0,663114380.0,-0.12312571237046441,2022.0,0.12324174874719199,0.026758251252808007,0.14603101598129253,0.2362511257374324,20.731460171494568,0.19831129466747602,3.0,0.5157674492744203,0.0,True
FSLY,,,398107000.0,465508960.0,2,0,0,431807980.0,-0.5520922078422785,2022.0,,,0.3589069270321798,0.3971730587786698,21.3630718381594,0.4962547063387045,2.0,0.8085528178986123,0.0,False
FTNT,2386848000.0,3074824000.0,4064008000.0,4880416000.0,4,4,1,3569416000.0,1.5600840694275986,2022.0,0.03223443223443224,0.11776556776556776,0.1159958346538688,0.029543994861913937,22.552321090918163,1.0452151573538857,3.0,0.41556053874117294,0.41556053874117294,True
GOOGL,167924840000.0,237026040000.0,260209120000.0,282802480000.0,4,4,1,248617580000.0,5.8035979650377865,2022.0,0.1592081650964558,0.0,0.13965690364734334,0.07928511980375838,26.623886216753668,,3.0,0.28080921569507444,0.28080921569507444,True
GPRO,,,1006057720.0,925022280.0,2,2,0,965540000.0,0.2526143237912805,2022.0,0.16271442254665777,0.0,0.12791930069380114,0.13601132855119902,20.797375594812824,0.43212479977714324,3.0,0.30522785693614557,0.0,False
GTLB,74728840.0,140001920.0,232440760.0,390389120.0,4,0,0,186221340.0,-1.393137240305936,2022.0,,,,,,,0.0,,,False
HUBS,,,1592491480.0,1996611600.0,2,2,0,1794551540.0,0.8724372247370894,2022.0,,,0.25536101455312027,0.05008885001127818,21.65729353469468,0.6100879540447779,2.0,0.4325969980175588,0.0,False
IBM,50764680000.0,52762000000.0,55687600000.0,56911200000.0,4,4,1,54224800000.0,4.2808204408222785,2022.0,0.0,0.15,0.10849165702957211,0.5275968029675503,25.569364481040765,0.8269374346722413,3.0,0.6909658868445447,0.6909658868445447,True
INFY,,,,16755040000.0,1,1,0,16755040000.0,3.1063811809852657,2022.0,,,,,,,0.0,,,False
INTC,71637640000.0,72702080000.0,58009680000.0,49889760000.0,4,4,1,64823660000.0,4.459352732625452,2022.0,0.0,0.15,0.27798395026485234,0.18456038615508805,25.92783829800885,0.43281549452782214,3.0,0.7131503482813426,0.7131503482813426,True
INTT,,,107481760.0,113437840.0,2,0,0,110459800.0,-1.9154215526691294,2022.0,0.16599310004928536,0.0,0.06444516725442531,0.36490832773063436,18.516590743828658,0.4098450020896553,3.0,0.35214563282588407,0.0,False
INTU,7064680000.0,8862360000.0,11707920000.0,13218560000.0,4,4,1,10285140000.0,2.618382207520451,2022.0,0.1872541306058222,0.0,0.18442558541568443,0.7498738011105502,24.045924934278084,0.40718973101608136,3.0,0.587772933873746,0.587772933873746,True
KLAC,5341910080.0,6365235280.0,8474932360.0,9656371520.0,4,4,1,7420083820.0,2.291872426063222,2022.0,0.04791219398395695,0.10208780601604305,0.11998133280676708,0.2789901126355551,23.256731513082443,0.8889354428579049,3.0,0.5790755726407634,0.5790755726407634,True
KLTR,110804800.0,151814720.0,155306120.0,161158240.0,4,0,0,153560420.0,-1.5859791013142372,2022.0,,,0.33994822612270525,0.05972711972100829,19.14421647950119,0.7897570463353236,2.0,0.5223732653639196,0.0,True
LAW,62968480.0,105194640.0,124374800.0,127042800.0,4,0,0,114784720.0,-1.8770148325489164,2022.0,,,0.43833123751756786,0.02676321189753513,19.361945024560395,0.1275192921403547,2.0,0.500896818653828,0.0,True
LIVE,,,263959960.0,326757320.0,2,0,0,295358640.0,-0.9318828597768489,2022.0,0.2174531882591093,0.0,,0.1612743461923578,19.445420417383527,0.6512954130284205,2.0,0.3192125019151218,0.0,False
LOGI,2737782920.0,4832096680.0,5042612920.0,4175712560.0,4,4,1,4503904620.0,1.7926267863331462,2022.0,,,,,,,0.0,,,False
LRCX,9241157120.0,13456058000.0,15848875880.0,16034234720.0,4,4,1,14652466940.0,2.972290785547422,2022.0,0.11319374078828233,0.036806259211717665,0.09312383863529884,0.0940333568431797,23.5679212350258,0.6348859989560139,3.0,0.3770899330880946,0.3770899330880946,True
LZ,432985120.0,529073600.0,570380680.0,607868840.0,4,0,0,549727140.0,-0.31065116049758024,2022.0,,,0.11360707378798314,0.20259006647837294,19.820372458408336,0.6487993191825256,2.0,0.3552345888794487,0.0,True
MCHP,4852264000.0,5003328000.0,6275228000.0,7763604000.0,4,4,1,5639278000.0,2.017438115582836,2022.0,0.13288364249578416,0.017116357504215834,0.14501018927121054,,,,2.0,0.47060771650935584,0.47060771650935584,True
MCW,,,806385520.0,852904400.0,2,2,0,829644960.0,0.10092464370914794,2022.0,0.22577902128593372,0.0,,0.45916733923205444,21.71140530510748,0.7017651491010456,2.0,0.5341657729431591,0.0,False
MDB,,,,1181316800.0,1,1,0,1181316800.0,0.4543118209432407,,,,,,,,,,,False
