Ticker,pillar_two_in_scope_proxy,eligible_for_main_design,core_covariate_count,Firm_Size,ETR,RD_Intensity,propensity_score,within_common_support,restricted_sample_flag,exclusion_reason
AAPL,1,True,3,26.589039601923314,0.162044616844244,0.0665714836379866,0.9994977403554267,False,False,outside_common_support
ABNB,1,True,3,23.498226743331248,0.0482654600301659,0.1788308131920466,0.8558234666318982,False,False,outside_common_support
ACN,1,True,2,24.57900183698325,0.2400138014022581,,0.9921789872331488,False,False,outside_common_support
ADBE,1,True,3,24.025195216949896,0.2083888149134487,0.1696580711121208,0.9780766235547206,False,False,outside_common_support
ADI,1,True,3,24.64131763264268,0.1130094757594113,0.1415452515920446,0.9834720918257135,False,False,outside_common_support
AGYS,0,True,3,19.18224329594487,0.0050683458762094,0.2848815760348262,0.005191093264963652,False,False,outside_common_support
ALIT,0,False,1,23.142299742583702,,,,False,False,not_eligible_for_main_design
ALRM,0,False,3,21.007974743918776,0.0169985687275811,0.2594892464503969,,False,False,not_eligible_for_main_design
AMAT,1,True,3,24.00890271130528,0.1413343861034346,0.10746558076401,0.9712459028387063,False,False,outside_common_support
AMD,1,True,3,24.936577918232555,0.0,0.2120672852845218,0.9668098932595351,False,False,outside_common_support
AMPL,0,True,2,19.84078456917468,,0.3385139477542036,0.02728949895700522,False,False,outside_common_support
AMZN,1,False,1,26.860290700710223,,,,False,False,not_eligible_for_main_design
APH,1,True,2,23.45282961912891,0.2231498743616762,,0.9559525992846872,False,False,outside_common_support
API,0,True,2,20.501015636475483,,0.7126532644550942,0.01569718425318734,False,False,outside_common_support
APPF,0,True,2,19.75887932476254,,0.2354778620971724,0.03651959344507112,False,False,outside_common_support
APPN,0,True,2,20.202750081805764,,0.2974629853992919,0.0531603333396867,False,False,outside_common_support
ASAN,0,False,0,,,,,False,False,not_eligible_for_main_design
ASML,0,False,3,24.31509459744025,0.1502300150245504,0.1536597806681968,,False,False,not_eligible_for_main_design
ASYS,0,True,3,18.70986668502665,0.0754857599148256,0.0601140190784398,0.011064650016160027,False,False,outside_common_support
ATEN,0,True,3,19.726591714372848,0.1101752788527202,0.2083128223787,0.03371745058534542,False,False,outside_common_support
AUDC,0,True,3,19.59573233273516,0.1672468771026533,0.2175337067827971,0.04105463652368211,False,False,outside_common_support
AVGO,1,True,3,25.017130432873262,0.0755187389416117,0.1481492636207571,0.9868958343847156,False,False,outside_common_support
