comparison_metric,difference,validation_status
market_did_estimate_difference,3.72098185597e-16,computationally_replicated
market_did_standard_error_difference,3.313321839116e-16,computationally_replicated
market_did_p_value_difference,6.994405055138e-15,computationally_replicated
market_did_nobs_match,True,computationally_replicated
pretrend_p_value_difference,5.872479423314e-18,computationally_replicated
robustness_max_estimate_difference,1.174971578366e-14,computationally_replicated
robustness_max_standard_error_difference,5.491093690857e-14,computationally_replicated
event_max_difference_difference,2.125036258072e-17,computationally_replicated
event_max_bh_p_value_difference,2.442490654175e-15,computationally_replicated
event_max_holm_p_value_difference,8.881784197001e-16,computationally_replicated
