symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccruedInterestReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,AvailableForSaleSecurities,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,CommercialPaper,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAccruedExpenses,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentDeferredAssets,CurrentDeferredLiabilities,CurrentDeferredRevenue,CurrentLiabilities,CurrentProvisions,DefinedPensionBenefit,DerivativeProductLiabilities,DividendsPayable,DuefromRelatedPartiesCurrent,DuefromRelatedPartiesNonCurrent,DuetoRelatedPartiesCurrent,EmployeeBenefits,FinancialAssets,FinancialAssetsDesignatedasFairValueThroughProfitorLossTotal,FinishedGoods,ForeignCurrencyTranslationAdjustments,GainsLossesNotAffectingRetainedEarnings,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,HedgingAssetsCurrent,HeldToMaturitySecurities,IncomeTaxPayable,InterestPayable,InventoriesAdjustmentsAllowances,Inventory,InvestedCapital,InvestmentinFinancialAssets,InvestmentsAndAdvances,InvestmentsinAssociatesatCost,LandAndImprovements,Leases,LineOfCredit,LoansReceivable,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MinorityInterest,NetDebt,NetPPE,NetTangibleAssets,NonCurrentAccountsReceivable,NonCurrentAccruedExpenses,NonCurrentDeferredAssets,NonCurrentDeferredLiabilities,NonCurrentDeferredRevenue,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentNoteReceivables,NonCurrentPensionAndOtherPostretirementBenefitPlans,NonCurrentPrepaidAssets,NotesReceivable,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentBorrowings,OtherCurrentLiabilities,OtherEquityAdjustments,OtherEquityInterest,OtherIntangibleAssets,OtherInventories,OtherInvestments,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PayablesAndAccruedExpenses,PensionandOtherPostRetirementBenefitPlansCurrent,PreferredSharesNumber,PreferredStock,PreferredStockEquity,PrepaidAssets,Properties,RawMaterials,Receivables,RestrictedCash,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,TradeandOtherPayablesNonCurrent,TreasurySharesNumber,TreasuryStock,UnrealizedGainLoss,WorkInProcess,WorkingCapital
AAPL,2021-09-30,12M,USD,,,,,,,,,11803000000.0,,,,,,,,,,,,1528000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10275000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127877000000.0,,,,10087000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,24689000000.0,,,,,
AAPL,2022-09-30,12M,USD,64115000000.0,28184000000.0,,-72340000000.0,,,120805000000.0,,12411000000.0,64849000000.0,23646000000.0,48304000000.0,5100000000.0,18546000000.0,9982000000.0,64849000000.0,50672000000.0,,,135405000000.0,1663000000.0,21110000000.0,22773000000.0,,7912000000.0,7912000000.0,153982000000.0,,,,,,,,,,,,,-11109000000.0,,,,114457000000.0,,,6552000000.0,,,4946000000.0,170741000000.0,120805000000.0,120805000000.0,,22126000000.0,11271000000.0,,,10748000000.0,98959000000.0,109707000000.0,,,81060000000.0,,96423000000.0,42117000000.0,50672000000.0,,,15375000000.0,,,15375000000.0,,,,,,15943425000.0,21223000000.0,11128000000.0,52630000000.0,-11109000000.0,,,,120805000000.0,39053000000.0,21737000000.0,,10417000000.0,32748000000.0,24658000000.0,70667000000.0,70667000000.0,,,,,,0.0,,60932000000.0,,-3068000000.0,15943425000.0,50672000000.0,50672000000.0,,352755000000.0,149631000000.0,132480000000.0,50672000000.0,302083000000.0,217350000000.0,148101000000.0,6552000000.0,16657000000.0,,,,,-18577000000.0
AAPL,2023-09-30,12M,USD,62611000000.0,29508000000.0,,-70884000000.0,,,100544000000.0,,12842000000.0,73812000000.0,29965000000.0,61555000000.0,1606000000.0,28359000000.0,5985000000.0,73812000000.0,62146000000.0,,,143566000000.0,1575000000.0,15807000000.0,15807000000.0,,8061000000.0,8061000000.0,145308000000.0,,,,,,,,,,,,,-11452000000.0,,,,114599000000.0,,,8819000000.0,,,6331000000.0,173234000000.0,100544000000.0,100544000000.0,,23446000000.0,12839000000.0,,,11267000000.0,95281000000.0,95281000000.0,,,78314000000.0,,81123000000.0,43715000000.0,62146000000.0,,,17852000000.0,,,17852000000.0,,,,,,15550061000.0,14695000000.0,9822000000.0,50010000000.0,-11452000000.0,,,,,46906000000.0,34391000000.0,,10661000000.0,31477000000.0,31590000000.0,71430000000.0,71430000000.0,,,,,,0.0,,60985000000.0,,-214000000.0,15550061000.0,62146000000.0,62146000000.0,,352583000000.0,157427000000.0,111088000000.0,62146000000.0,290437000000.0,209017000000.0,145129000000.0,8819000000.0,15457000000.0,0.0,,,,-1742000000.0
AAPL,2024-09-30,12M,USD,68960000000.0,33410000000.0,,-73448000000.0,,,91479000000.0,,,83276000000.0,29943000000.0,65171000000.0,2744000000.0,27199000000.0,9967000000.0,83276000000.0,56950000000.0,,,152987000000.0,,20879000000.0,20879000000.0,,8249000000.0,8249000000.0,176392000000.0,,,,,,,,,,,,,-7172000000.0,,,,119128000000.0,,,26601000000.0,,,7286000000.0,163579000000.0,91479000000.0,91479000000.0,,24690000000.0,14233000000.0,,,,85750000000.0,85750000000.0,,,80205000000.0,,76686000000.0,45680000000.0,56950000000.0,,,19499000000.0,,,19499000000.0,,,,,,15116786000.0,14287000000.0,10912000000.0,44024000000.0,-7172000000.0,,,,,55335000000.0,45888000000.0,,,32833000000.0,35228000000.0,95561000000.0,103240000000.0,,,,,,0.0,,66243000000.0,,-19154000000.0,15116786000.0,56950000000.0,56950000000.0,,364980000000.0,142700000000.0,106629000000.0,56950000000.0,308030000000.0,211993000000.0,131638000000.0,26601000000.0,9254000000.0,,,,,-23405000000.0
AAPL,2025-09-30,12M,USD,69860000000.0,39777000000.0,,-76014000000.0,,,77723000000.0,,,93568000000.0,35934000000.0,54697000000.0,7667000000.0,28267000000.0,7979000000.0,93568000000.0,73733000000.0,,8919000000.0,147957000000.0,,20329000000.0,20329000000.0,,9055000000.0,9055000000.0,165631000000.0,,,,,,,,,,,,,-5571000000.0,,,,125848000000.0,,,13016000000.0,,,5718000000.0,172390000000.0,77723000000.0,77723000000.0,,27337000000.0,15091000000.0,,,,78328000000.0,78328000000.0,,,83420000000.0,,62723000000.0,49834000000.0,73733000000.0,,,20777000000.0,,,20777000000.0,,,,,,14773260000.0,14585000000.0,12350000000.0,44452000000.0,-5571000000.0,,,,,62950000000.0,41549000000.0,,,33180000000.0,18763000000.0,82876000000.0,91795000000.0,,,,,,0.0,,72957000000.0,,-14264000000.0,14773260000.0,73733000000.0,73733000000.0,,359241000000.0,152061000000.0,98657000000.0,73733000000.0,285508000000.0,211284000000.0,119877000000.0,13016000000.0,,,,,,-17674000000.0
ADBE,2021-11-30,12M,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34000000.0,,,,,,,,,,,,,,,,,,279000000.0,,,,,,,,,5000000.0,,,,,,,,,,,,,,,,40000000.0,,,,,,,,,,993000000.0,,,,,,,,,,,,,,,,,,,,,,,
ADBE,2022-11-30,12M,USD,379000000.0,2065000000.0,,-1569000000.0,9868000000.0,-23000000.0,,902000000.0,504000000.0,0.0,4236000000.0,6096000000.0,3579000000.0,657000000.0,,0.0,14051000000.0,675000000.0,643000000.0,8996000000.0,87000000.0,500000000.0,587000000.0,,5297000000.0,5297000000.0,8128000000.0,106000000.0,,,,,,,,,,,,-293000000.0,12787000000.0,14236000000.0,2088000000.0,3884000000.0,,,75000000.0,,,,18180000000.0,,,,144000000.0,259000000.0,,,417000000.0,3629000000.0,4046000000.0,,,1497000000.0,,,2315000000.0,-185000000.0,,,777000000.0,117000000.0,117000000.0,777000000.0,,,,,,462000000.0,835000000.0,500000000.0,439000000.0,-293000000.0,,1449000000.0,,,841000000.0,293000000.0,,407000000.0,,1860000000.0,571000000.0,1214000000.0,485000000.0,,0.0,,,0.0,,2065000000.0,,28319000000.0,601000000.0,14051000000.0,-185000000.0,,27165000000.0,17680000000.0,4633000000.0,14051000000.0,13114000000.0,18169000000.0,4986000000.0,192000000.0,530000000.0,139000000.0,23843000000.0,,,868000000.0
ADBE,2023-11-30,12M,USD,314000000.0,2224000000.0,,-1731000000.0,11586000000.0,-16000000.0,,1660000000.0,446000000.0,0.0,7141000000.0,7842000000.0,6523000000.0,618000000.0,,0.0,16518000000.0,2000000.0,679000000.0,11084000000.0,73000000.0,,73000000.0,,5837000000.0,5837000000.0,8251000000.0,111000000.0,,,,,,,,,,,,-285000000.0,12805000000.0,13893000000.0,2240000000.0,4119000000.0,,,85000000.0,,,,20152000000.0,,,,163000000.0,275000000.0,,,373000000.0,3634000000.0,4007000000.0,,,1661000000.0,,,2388000000.0,2625000000.0,,,1191000000.0,113000000.0,113000000.0,1191000000.0,,,,,,455000000.0,1018000000.0,,495000000.0,-285000000.0,,1088000000.0,,,1223000000.0,376000000.0,,358000000.0,,701000000.0,521000000.0,1200000000.0,535000000.0,,0.0,,,0.0,,2224000000.0,,33346000000.0,601000000.0,16518000000.0,2625000000.0,,29779000000.0,20152000000.0,4080000000.0,16518000000.0,13261000000.0,18695000000.0,5010000000.0,207000000.0,514000000.0,146000000.0,28129000000.0,,,2833000000.0
ADBE,2024-11-30,12M,USD,361000000.0,2072000000.0,,-1655000000.0,13419000000.0,-14000000.0,,1628000000.0,428000000.0,0.0,7613000000.0,7886000000.0,6826000000.0,787000000.0,,0.0,14105000000.0,27000000.0,176000000.0,11232000000.0,75000000.0,1499000000.0,1574000000.0,,6131000000.0,6131000000.0,10521000000.0,141000000.0,,,,,,,,,,,,-201000000.0,12788000000.0,13570000000.0,2086000000.0,3872000000.0,,,119000000.0,,,,19733000000.0,,,,163000000.0,222000000.0,,,353000000.0,4129000000.0,4482000000.0,,,1551000000.0,,,2217000000.0,535000000.0,,,1657000000.0,128000000.0,128000000.0,1657000000.0,,,,,,441000000.0,1274000000.0,1499000000.0,603000000.0,-201000000.0,,782000000.0,,,1554000000.0,446000000.0,,281000000.0,,273000000.0,675000000.0,851000000.0,1221000000.0,,0.0,,,0.0,,2072000000.0,,38470000000.0,601000000.0,14105000000.0,535000000.0,,30230000000.0,18234000000.0,6056000000.0,14105000000.0,16125000000.0,18998000000.0,5604000000.0,314000000.0,548000000.0,160000000.0,37583000000.0,,,711000000.0
ADBE,2025-11-30,12M,USD,417000000.0,2344000000.0,,-1728000000.0,15361000000.0,-13000000.0,,1646000000.0,438000000.0,0.0,5431000000.0,6595000000.0,4720000000.0,711000000.0,,0.0,11623000000.0,37000000.0,197000000.0,10163000000.0,77000000.0,,77000000.0,,6905000000.0,6905000000.0,10200000000.0,137000000.0,,,,,,,,,,,,-245000000.0,12857000000.0,13352000000.0,2357000000.0,3913000000.0,,,153000000.0,,,,17833000000.0,,,,161000000.0,250000000.0,,,361000000.0,6210000000.0,6571000000.0,,,1507000000.0,,779000000.0,2185000000.0,-1729000000.0,,,2186000000.0,125000000.0,125000000.0,2186000000.0,,,,,,413000000.0,1224000000.0,,714000000.0,-245000000.0,,495000000.0,,,1610000000.0,508000000.0,,312000000.0,,1164000000.0,825000000.0,1022000000.0,1345000000.0,,0.0,,,0.0,,2344000000.0,,45354000000.0,601000000.0,11623000000.0,-1729000000.0,,29496000000.0,17833000000.0,6648000000.0,11623000000.0,17873000000.0,19333000000.0,7673000000.0,408000000.0,469000000.0,188000000.0,48847000000.0,,,-37000000.0
