symbol,asOfDate,periodType,currencyCode,Amortization,AmortizationOfIntangiblesIncomeStatement,BasicAverageShares,BasicEPS,CostOfRevenue,DepreciationAmortizationDepletionIncomeStatement,DepreciationAndAmortizationInIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,EarningsFromEquityInterest,EarningsFromEquityInterestNetOfTax,GainOnSaleOfBusiness,GainOnSaleOfPPE,GainOnSaleOfSecurity,GeneralAndAdministrativeExpense,GrossProfit,InterestExpense,InterestExpenseNonOperating,InterestIncome,InterestIncomeNonOperating,MinorityInterests,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeDiscontinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NetNonOperatingInterestIncomeExpense,NormalizedEBITDA,NormalizedIncome,OperatingExpense,OperatingIncome,OperatingRevenue,OtherGandA,OtherIncomeExpense,OtherNonOperatingIncomeExpenses,OtherOperatingExpenses,OtherSpecialCharges,PreferredStockDividends,PretaxIncome,ProvisionForDoubtfulAccounts,ReconciledCostOfRevenue,ReconciledDepreciation,ResearchAndDevelopment,RestructuringAndMergernAcquisition,SalariesAndWages,SellingAndMarketingExpense,SellingGeneralAndAdministration,SpecialIncomeCharges,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TotalExpenses,TotalOperatingIncomeAsReported,TotalOtherFinanceCost,TotalRevenue,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,WriteOff
AAPL,2021-09-30,12M,USD,,,,,,,,,,,,,,,,,,,,2645000000.0,2645000000.0,2843000000.0,2843000000.0,,,,,,,,,198000000.0,198000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAPL,2022-09-30,12M,USD,,,16215963000.0,6.15,223546000000.0,,,16325819000.0,6.11,99803000000.0,119437000000.0,130541000000.0,,,,,,,170782000000.0,2931000000.0,2931000000.0,2825000000.0,2825000000.0,,99803000000.0,99803000000.0,99803000000.0,,99803000000.0,99803000000.0,99803000000.0,-106000000.0,-106000000.0,130541000000.0,99803000000.0,51345000000.0,119437000000.0,394328000000.0,,-334000000.0,-334000000.0,,,,119103000000.0,,223546000000.0,11104000000.0,26251000000.0,,,,25094000000.0,,0.0,19300000000.0,0.162,274891000000.0,119437000000.0,,394328000000.0,,,
AAPL,2023-09-30,12M,USD,,,15744231000.0,6.16,214137000000.0,,,15812547000.0,6.13,96995000000.0,114301000000.0,125820000000.0,,,,,,,169148000000.0,3933000000.0,3933000000.0,3750000000.0,3750000000.0,,96995000000.0,96995000000.0,96995000000.0,,96995000000.0,96995000000.0,96995000000.0,-183000000.0,-183000000.0,125820000000.0,96995000000.0,54847000000.0,114301000000.0,383285000000.0,,-565000000.0,-565000000.0,,,,113736000000.0,,214137000000.0,11519000000.0,29915000000.0,,,,24932000000.0,,0.0,16741000000.0,0.147,268984000000.0,114301000000.0,,383285000000.0,,,
AAPL,2023-09-30,TTM,USD,,,15744231000.0,6.16,,,,15812547000.0,6.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAPL,2023-12-31,TTM,USD,,,15648491000.0,6.46,,,,15717777750.0,6.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAPL,2024-03-31,TTM,USD,,,15553166500.0,6.46,,,,15622192500.0,6.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAPL,2024-06-30,TTM,USD,,,15450643500.0,6.6,,,,15515481000.0,6.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAPL,2024-09-30,12M,USD,,,15343783000.0,6.11,210352000000.0,,,15408095000.0,6.08,93736000000.0,123216000000.0,134661000000.0,,,,,,,180683000000.0,,,,,,93736000000.0,93736000000.0,93736000000.0,,93736000000.0,93736000000.0,93736000000.0,,,134661000000.0,93736000000.0,57467000000.0,123216000000.0,391035000000.0,,269000000.0,269000000.0,,,,123485000000.0,,210352000000.0,11445000000.0,31370000000.0,,,,26097000000.0,,0.0,29749000000.0,0.241,267819000000.0,123216000000.0,,391035000000.0,,,
AAPL,2024-09-30,TTM,USD,,,15343783000.0,6.11,,,,15408095000.0,6.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAPL,2024-12-31,TTM,USD,,,15236773250.0,6.33,,,,15301651000.0,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAPL,2025-03-31,TTM,USD,,,15133829500.0,6.45,,,,15199507000.0,6.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAPL,2025-06-30,TTM,USD,,,15037671250.0,6.62,217886000000.0,,,15099508250.0,6.59,99280000000.0,130214000000.0,141696000000.0,,,,,,,190739000000.0,,,,,,99280000000.0,99280000000.0,99280000000.0,,99280000000.0,99280000000.0,99280000000.0,,,141696000000.0,99280000000.0,60525000000.0,130214000000.0,408625000000.0,,-679000000.0,-679000000.0,,,,129535000000.0,,217886000000.0,11482000000.0,33449000000.0,,,,27076000000.0,,0.0,30255000000.0,0.233566,278411000000.0,130214000000.0,,408625000000.0,,,
AAPL,2025-09-30,12M,USD,,,14948500000.0,7.49,220960000000.0,,,15004697000.0,7.46,112010000000.0,133050000000.0,144748000000.0,,,,,,,195201000000.0,,,,,,112010000000.0,112010000000.0,112010000000.0,,112010000000.0,112010000000.0,112010000000.0,,,144748000000.0,112010000000.0,62151000000.0,133050000000.0,416161000000.0,,-321000000.0,-321000000.0,,,,132729000000.0,,220960000000.0,11698000000.0,34550000000.0,,,,27601000000.0,,0.0,20719000000.0,0.156,283111000000.0,133050000000.0,,416161000000.0,,,
AAPL,2025-09-30,TTM,USD,,,14948500000.0,7.49,,,,15004697000.0,7.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAPL,2025-12-31,TTM,USD,,,14865108500.0,7.93,,,,14919569750.0,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAPL,2026-03-31,TTM,USD,,,14784907500.0,8.3,235371000000.0,,,14837005000.0,8.26,122575000000.0,147366000000.0,159976000000.0,,,,,,,216071000000.0,,,,,,122575000000.0,122575000000.0,122575000000.0,,122575000000.0,122575000000.0,122575000000.0,,,159976000000.0,122575000000.0,68705000000.0,147366000000.0,451442000000.0,,304000000.0,304000000.0,,,,147670000000.0,,235371000000.0,12610000000.0,40038000000.0,,,,28667000000.0,,0.0,25095000000.0,0.16994,304076000000.0,147366000000.0,,451442000000.0,,,
ADBE,2022-11-30,12M,USD,169000000.0,169000000.0,470000000.0,10.13,2165000000.0,169000000.0,169000000.0,471000000.0,10.1,4756000000.0,6120000000.0,6976000000.0,,,,,-40000000.0,1219000000.0,15441000000.0,112000000.0,112000000.0,61000000.0,61000000.0,,4756000000.0,4756000000.0,4756000000.0,,4756000000.0,4756000000.0,4756000000.0,-51000000.0,-51000000.0,7016000000.0,4787600000.0,9343000000.0,6098000000.0,17606000000.0,1219000000.0,-39000000.0,1000000.0,,,,6008000000.0,,1478000000.0,856000000.0,2987000000.0,0.0,,4968000000.0,6187000000.0,0.0,-8400000.0,1252000000.0,0.21,11508000000.0,6098000000.0,,17606000000.0,-40000000.0,-40000000.0,
ADBE,2022-11-30,TTM,USD,169000000.0,169000000.0,,,2165000000.0,169000000.0,169000000.0,,,4756000000.0,6120000000.0,6976000000.0,,,,,-40000000.0,1219000000.0,15441000000.0,112000000.0,112000000.0,61000000.0,61000000.0,,4756000000.0,4756000000.0,4756000000.0,,4756000000.0,4756000000.0,4756000000.0,-51000000.0,-51000000.0,7016000000.0,4787600000.0,9343000000.0,6098000000.0,17606000000.0,1219000000.0,-39000000.0,1000000.0,,,,6008000000.0,,1478000000.0,856000000.0,2987000000.0,,,4968000000.0,6187000000.0,,-8400000.0,1252000000.0,0.21,11508000000.0,6098000000.0,,17606000000.0,-40000000.0,-40000000.0,
ADBE,2023-11-30,12M,USD,168000000.0,168000000.0,457000000.0,11.87,2354000000.0,168000000.0,168000000.0,459000000.0,11.82,5428000000.0,6912000000.0,7784000000.0,,,,,-8000000.0,1413000000.0,17055000000.0,113000000.0,113000000.0,269000000.0,269000000.0,,5428000000.0,5428000000.0,5428000000.0,,5428000000.0,5428000000.0,5428000000.0,156000000.0,156000000.0,7792000000.0,5434400000.0,10405000000.0,6650000000.0,19409000000.0,1413000000.0,-7000000.0,1000000.0,,,,6799000000.0,,1650000000.0,872000000.0,3473000000.0,0.0,,5351000000.0,6764000000.0,0.0,-1600000.0,1371000000.0,0.2,12759000000.0,6650000000.0,,19409000000.0,-8000000.0,-8000000.0,
ADBE,2023-11-30,TTM,USD,,,457000000.0,11.87,,,,459000000.0,11.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADBE,2024-02-29,TTM,USD,,,455500000.0,10.52,,,,458000000.0,10.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADBE,2024-05-31,TTM,USD,,,453500000.0,11.18,,,,456500000.0,11.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADBE,2024-08-31,TTM,USD,,,450250000.0,11.88,,,,453750000.0,11.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
