symbol,asOfDate,periodType,EnterpriseValue,EnterprisesValueEBITDARatio,EnterprisesValueRevenueRatio,ForwardPeRatio,MarketCap,PbRatio,PeRatio,PegRatio,PsRatio
AAPL,2024-06-10,TTM,2998757915840.0,22.5476,7.8579,26.2467,2961317915840.0,39.913172,30.034215,2.0439,7.905597
AAPL,2024-07-12,TTM,3573939331660.0,26.8723,9.3651,31.1526,3536499331660.0,47.66557,35.867807,2.4183,9.441114
AAPL,2024-09-19,TTM,3519729959300.0,26.0433,9.1279,30.1205,3480226959300.0,52.171058,34.840183,2.1968,9.210233
AAPL,2025-03-31,3M,3361494040950.0,24.4736,8.4938,30.303,3318470040950.0,49.708949,35.25873,2.0615,8.588427
AAPL,2025-06-06,TTM,,22.2906,7.7314,,,,31.76324,1.8515,7.741625
AAPL,2025-06-30,3M,3097841652740.0,22.3081,7.7375,25.7069,3048153652740.0,45.633775,31.957944,1.871,7.78908
AAPL,2025-08-20,TTM,3400402543900.0,,8.3216,,,50.950578,,2.0401,8.35152
AAPL,2025-09-30,3M,3808041193800.0,26.8747,9.3192,31.6456,3761715193800.0,57.142871,38.638847,2.4377,9.409086
AAPL,2025-10-02,TTM,,27.2572,9.4518,32.0513,,57.966117,39.018209,2.4662,9.501466
AAPL,2025-10-03,TTM,3862235480700.0,,,,3815909480700.0,,,,
AAPL,2025-12-31,3M,4041036837580.0,27.9177,9.7103,32.7869,3997076837580.0,54.210148,36.442359,2.7512,9.80192
AAPL,2026-03-31,3M,3746114537520.0,24.5001,8.5996,29.4985,3722512537520.0,42.210143,32.125316,2.2544,8.692125
AAPL,2026-05-08,TTM,4324299261920.0,27.0309,9.5789,33.4448,4308095261920.0,40.455017,35.510896,2.5713,9.640198
ACN,2023-03-07,TTM,163773594516.0,,,23.0415,166377345516.0,7.241792,23.996367,2.7445,2.716252
ACN,2023-03-08,TTM,,15.871543,2.625547,,,,,,
ACN,2024-04-02,TTM,209575074498.0,,,,211542140498.0,,,,
ACN,2024-06-10,TTM,180634681205.0,16.7541,2.7973,22.2222,182601747205.0,6.732395,26.330916,1.8669,2.869285
ACN,2024-07-12,TTM,193633237588.0,17.9432,3.0032,23.9234,194573789588.0,7.013061,28.445971,2.0128,3.070109
ACN,2024-09-19,TTM,209048557943.0,19.3717,3.2423,25.8398,209989109943.0,7.568678,30.699634,2.1723,3.313342
ACN,2025-02-28,3M,218151179011.0,19.5177,3.2873,27.4725,218315987011.0,7.479009,29.21207,2.6861,3.336054
ACN,2025-05-31,3M,197902331876.0,17.1826,2.944,23.0415,198337501876.0,6.746155,26.118714,2.4758,2.991281
ACN,2025-08-20,TTM,,13.2353,2.2982,18.0832,158858580369.0,5.199149,,,2.35864
ACN,2025-08-31,3M,160450878639.0,13.493,2.3429,18.4502,161923015639.0,5.290962,20.681782,2.0039,2.404139
ACN,2025-09-12,TTM,,12.3705,,16.9205,,4.862596,18.976929,1.8388,
ACN,2025-10-02,TTM,,11.4893,2.1339,17.6367,,4.871848,20.110288,1.8977,2.217922
ACN,2025-10-03,TTM,148677672000.0,,,,151979480000.0,,,,
ACN,2025-11-30,3M,151732915000.0,12.7858,2.1778,18.0505,155034723000.0,4.931453,20.576132,1.9416,2.269298
ACN,2026-02-28,3M,127000314386.0,10.6564,1.7957,15.2207,128453626386.0,4.157435,17.249587,1.6184,1.860041
ACN,2026-05-08,TTM,109708693732.0,9.0571,1.5214,12.0482,110766922732.0,3.549007,14.788525,1.2686,1.569894
AMAT,2021-08-21,TTM,,20.238818,5.810226,,,,,,
AMAT,2024-06-10,TTM,187351736756.0,20.9542,7.0696,27.248,188910736756.0,10.380281,26.225287,2.2678,7.227664
AMAT,2024-07-12,TTM,199970073135.0,22.3655,7.5458,25.7069,201529073135.0,11.073634,27.977011,2.3604,7.710437
AMAT,2024-09-19,TTM,159736528150.0,17.5921,5.9483,20.1207,162168528150.0,8.607671,22.102247,1.8139,6.129332
AMAT,2025-01-31,3M,143658707117.0,16.3416,5.2862,18.7617,146523707117.0,7.711368,20.946574,1.8054,5.534733
AMAT,2025-04-30,3M,119319506284.0,13.8325,4.3177,16.2602,120944506284.0,6.493665,19.700654,1.7123,4.523754
AMAT,2025-07-31,3M,143366435405.0,15.9829,5.104,17.5439,143443435405.0,7.565183,21.905109,1.7908,5.275709
AMAT,2025-08-20,TTM,,,4.4881,,129170113008.0,,19.207637,1.6885,
AMAT,2025-10-02,TTM,177870280252.0,18.5397,6.2164,22.9358,178121280252.0,9.132551,26.681384,2.2506,6.376453
AMAT,2025-10-31,3M,184597300000.0,19.2409,6.4515,23.9234,184848300000.0,9.477456,27.816229,2.4346,6.647664
AMAT,2026-01-31,3M,254273332331.0,25.4911,8.9634,33.4448,255796332331.0,12.529823,37.2194,2.7198,9.180575
AMAT,2026-05-08,TTM,344248480486.0,33.7135,12.2013,40.0,345569480486.0,15.912395,44.660513,2.0746,12.393079
AMD,2024-04-02,TTM,286034223897.0,,,,288804223897.0,,,,
AMD,2024-06-10,TTM,256155092353.0,61.8135,11.2349,46.9484,259192092353.0,4.612123,232.405797,1.4717,11.4784
AMD,2024-07-12,TTM,290501762112.0,70.1018,12.7413,53.1915,293538762112.0,5.223296,263.202899,1.6667,12.999453
AMD,2024-09-19,TTM,250634398840.0,57.4323,10.7679,29.4118,253729398840.0,4.487768,186.630952,0.4102,11.032362
AMD,2024-12-31,3M,193615380000.0,40.5138,7.9694,24.2718,195921380000.0,3.438122,106.893805,0.3124,8.127658
AMD,2025-03-31,3M,163964265126.0,31.1838,6.3589,22.0751,166884265126.0,2.898907,102.74,0.4076,6.522605
AMD,2025-06-06,TTM,,31.1139,,29.1545,,,,,
AMD,2025-06-30,3M,227582800000.0,38.1083,8.2012,38.0228,230161800000.0,3.976466,103.576642,0.7748,8.354203
AMD,2025-08-20,TTM,,,8.9903,,268093777422.0,4.493317,98.922156,,
AMD,2025-09-30,3M,261413120000.0,46.6809,8.8315,27.248,263394120000.0,4.41455,96.88024,0.5003,8.920314
AMD,2025-10-02,TTM,273464259333.0,48.8329,9.2387,28.5714,275445259333.0,4.61653,101.634731,0.5248,9.358086
AMD,2025-12-31,3M,345707800000.0,55.8494,10.7943,34.7222,349080800000.0,5.742405,112.125654,0.4751,10.916296
AMD,2026-05-08,TTM,733757104866.0,90.7441,19.5909,64.9351,742233104866.0,11.514274,151.73,1.095,19.955732
AMZN,2023-03-30,TTM,,,,61.3497,,7.156937,,3.8288,2.022009
AMZN,2023-03-31,TTM,1128531460300.0,,,,1058439460300.0,,,,
AMZN,2023-04-01,TTM,,29.425622,2.195659,,,,,,
AMZN,2024-06-10,TTM,1996900121894.0,20.2427,3.3803,40.1606,1947288121894.0,8.987719,52.414566,1.9971,3.348974
AMZN,2024-07-12,TTM,2073596965943.0,21.0202,3.5102,41.6667,2023984965943.0,9.341713,54.478992,2.0668,3.480878
AMZN,2024-09-19,TTM,2036674283695.0,19.1187,3.3701,32.1543,1992793283695.0,8.428076,45.315036,1.8034,3.342096
