citation_id,document_type,source,source_path,source_url,page,section,ticker,sha256
PDF-df3a84f439,literature,Deloitte.pdf,bronze/literature/Deloitte.pdf,,1,page_1_chunk_0,,a5b48a5a28df9abbc422200a9daa4faccd7497d72244fe84b4a2ac9cb94a1097
PDF-4742333974,literature,Deloitte.pdf,bronze/literature/Deloitte.pdf,,1,page_1_chunk_1,,349f9f2665a3fd1e54c479945e6e1d09c71f8e90bb4f790fcc789f2da543a3bd
PDF-6479bb2436,literature,Deloitte.pdf,bronze/literature/Deloitte.pdf,,2,page_2_chunk_0,,a5b48a5a28df9abbc422200a9daa4faccd7497d72244fe84b4a2ac9cb94a1097
PDF-ec67ae446d,literature,Deloitte.pdf,bronze/literature/Deloitte.pdf,,2,page_2_chunk_1,,d5bdfaa664978983d7f061e1b18019515e2de49ee08f34991c9c9b55808d254b
PDF-5715c5704d,literature,Deloitte.pdf,bronze/literature/Deloitte.pdf,,3,page_3_chunk_0,,a5b48a5a28df9abbc422200a9daa4faccd7497d72244fe84b4a2ac9cb94a1097
PDF-b11570d013,literature,Deloitte.pdf,bronze/literature/Deloitte.pdf,,3,page_3_chunk_1,,31d45e5fad58b6720009772ddabb88d123ea3fb86dd5c23c1d136c1150a3a8a8
PDF-461c022547,literature,Deloitte.pdf,bronze/literature/Deloitte.pdf,,4,page_4_chunk_0,,a5b48a5a28df9abbc422200a9daa4faccd7497d72244fe84b4a2ac9cb94a1097
PDF-6bbfb7ce7d,literature,Deloitte.pdf,bronze/literature/Deloitte.pdf,,4,page_4_chunk_1,,471a6e4bdb078fbf63710e7e145af87af683db8e5639728ae9622a9426b02fe9
PDF-d41ed58aec,literature,Deloitte.pdf,bronze/literature/Deloitte.pdf,,5,page_5_chunk_0,,a5b48a5a28df9abbc422200a9daa4faccd7497d72244fe84b4a2ac9cb94a1097
PDF-c35f52627e,literature,Deloitte.pdf,bronze/literature/Deloitte.pdf,,5,page_5_chunk_1,,50ad7a94ddb871081ddcd63690ebb6c24f2c7186eabbbb9baf8cbf49ae041ba9
PDF-1d6c82d13b,literature,Deloitte.pdf,bronze/literature/Deloitte.pdf,,6,page_6_chunk_0,,a5b48a5a28df9abbc422200a9daa4faccd7497d72244fe84b4a2ac9cb94a1097
PDF-ef34c78945,literature,Deloitte.pdf,bronze/literature/Deloitte.pdf,,6,page_6_chunk_1,,4e042a163c0c77b5a1df1d467ac2806fdf389942c98505155d74c23f6aa160c5
PDF-7046818d02,literature,Deloitte.pdf,bronze/literature/Deloitte.pdf,,7,page_7_chunk_0,,a5b48a5a28df9abbc422200a9daa4faccd7497d72244fe84b4a2ac9cb94a1097
PDF-7c91abc56d,literature,Deloitte.pdf,bronze/literature/Deloitte.pdf,,7,page_7_chunk_1,,6552a384c2385df513d40281ee839cc6f91ec3f69343ef110ee5bac921b657e4
