Ticker,Revenue_EUR,Currency,Treatment_Group
AMZN,488283850000.0,USD,1
AAPL,374611600000.0,USD,1
GOOGL,268694200000.0,USD,1
MSFT,188356500000.0,USD,1
META,110778550000.0,USD,1
TSM,72444521600.0,TWD,1
INTC,59901300000.0,USD,1
ACN,58514589750.0,USD,1
IBM,57503500000.0,USD,1
CSCO,48979150000.0,USD,1
QCOM,41990000000.0,USD,1
ORCL,40318000000.0,USD,1
AVGO,31542850000.0,USD,1
UBER,30283150000.0,USD,1
SAP,29519000000.0,EUR,1
MU,29220100000.0,USD,1
PYPL,26142100000.0,USD,1
AMAT,24495750000.0,USD,1
AMD,22420950000.0,USD,1
ASML,21173400000.0,EUR,1
TXN,19026600000.0,USD,1
ADBE,16725700000.0,USD,1
LRCX,16365687050.0,USD,1
TEL,15466950000.0,USD,1
STM,15321600000.0,USD,1
NXPI,12544750000.0,USD,1
INTU,12089700000.0,USD,1
APH,11991850000.0,USD,1
ADI,11413255350.0,USD,1
WIT,9491208000.0,INR,1
KLAC,8751288850.0,USD,1
MSI,8656400000.0,USD,1
ABNB,7979050000.0,USD,1
NOW,6882750000.0,USD,1
MCHP,6479855000.0,USD,1
SHOP,5320000000.0,USD,1
PANW,5226425000.0,USD,1
LOGI,5207045950.0,USD,1
ROP,5103210000.0,USD,1
SNPS,4384928300.0,USD,1
FTNT,4196530000.0,USD,1
TWLO,3635004950.0,USD,1
CIEN,3451027950.0,USD,1
CDNS,3383632100.0,USD,1
SCSC,3353438250.0,USD,1
DBD,3287665000.0,USD,1
VNT,3025180000.0,USD,1
TEAM,2662737900.0,USD,1
CHKP,2213405000.0,USD,1
ALIT,2096650000.0,USD,1
FIVN,739903700.0,USD,0
FORM,710540150.0,USD,0
DCO,676910150.0,USD,0
RPD,650828850.0,USD,0
TENB,649031450.0,USD,0
EGHT,606223500.0,USD,0
UDMY,597642150.0,USD,0
LZ,588980050.0,USD,0
QNST,552994050.0,USD,0
DOCN,547505900.0,USD,0
BAND,544494400.0,USD,0
WK,510981250.0,USD,0
RAMP,502224150.0,USD,0
COUR,497568200.0,USD,0
BL,496791100.0,USD,0
MNDY,493077550.0,USD,0
VRNS,449952300.0,USD,0
APPF,448288850.0,USD,0
APPN,444591450.0,USD,0
SPSC,428331250.0,USD,0
FSLY,411088750.0,USD,0
DGII,368813750.0,USD,0
XMTR,361874950.0,USD,0
GTLB,360263750.0,USD,0
SCOR,357601850.0,USD,0
PD,330919200.0,USD,0
TCX,308473550.0,USD,0
BIRD,282877700.0,USD,0
CMBM,282054050.0,USD,0
LIVE,272567350.0,USD,0
ATEN,266321100.0,USD,0
AUDC,261338350.0,USD,0
AMPL,226163650.0,USD,0
TLS,221914300.0,USD,0
KLTR,160370450.0,USD,0
AGYS,154504200.0,USD,0
API,152636500.0,USD,0
MITK,137563800.0,USD,0
AXTI,134062100.0,USD,0
LAW,128430500.0,USD,0
CLSK,124948750.0,USD,0
CEVA,114553850.0,USD,0
INTT,110986600.0,USD,0
ASYS,100983100.0,USD,0
SMSI,46087350.0,USD,0
DSS,40834800.0,USD,0
DMRC,28687150.0,USD,0
SEAC,25944500.0,USD,0
AWRE,15207600.0,USD,0
ENVX,5891900.0,USD,0
