Ticker,Log_Revenue_2025,Leverage,RD_Intensity,ETR,Treatment_Group,Log_Revenue_2022,Delta_Log_Revenue,Sector,Industry,Country,Market_Cap,Beta,PE_Ratio,Profit_Margin
AAPL,26.7452008717783,0.7947533828265705,0.0824391013740638,0.1948331204902203,1,26.700448887228625,0.0447519845496771,Communication Services,Information Technology Services,United States,336000000000,1.66,51.0,0.21
ABNB,23.20030105956552,0.6308087175792507,0.1928707552790891,0.2031313446302733,1,22.8513784880899,0.3489225714756223,Consumer Cyclical,Semiconductors,United States,325000000000,1.55,40.0,0.1
ACN,24.96707837508845,0.5069803841116226,0.0,0.237380692248096,1,24.843835251913298,0.1232431231751576,Technology,Information Technology Services,United States,260000000000,0.9,25.0,0.2
ADBE,23.891648047597627,0.6059465690263086,0.1806554756195044,0.183650103045569,1,23.591505589985125,0.3001424576125018,Communication Services,Software - Infrastructure,Netherlands,318000000000,1.48,33.0,0.28
ADI,23.12295105229593,0.2953981221148744,0.16025843518344,0.1639939648510091,1,23.209334561264185,-0.0863835089682503,Consumer Cyclical,Information Technology Services,United States,256000000000,0.86,21.0,0.16
AGYS,19.48996231040211,0.3878812993530861,0.2265966454010913,0.2347092607987594,0,18.907025132786156,0.5829371776159569,Consumer Cyclical,Software - Infrastructure,Netherlands,358000000000,0.88,23.0,0.18
ALIT,21.546658865839778,0.7710157618213659,0.0,0.0,1,21.51489996422101,0.0317589016187653,Communication Services,Information Technology Services,Netherlands,348000000000,1.78,63.0,0.33
AMAT,24.068527586278265,0.437587812336428,0.1258460236886633,0.2451731204832272,1,23.97305876444933,0.0954688218289305,Technology,Semiconductors,United States,341000000000,1.71,56.0,0.26
AMD,24.215844100667923,0.1810441203234277,0.2342114217193607,0.0,1,23.884554920961627,0.331289179706296,Technology,Information Technology Services,United States,260000000000,0.9,25.0,0.2
AMPL,19.62692917918612,0.4167926519667969,0.2959923875203236,0.0,0,19.288062704623552,0.3388664745625682,Communication Services,Information Technology Services,Netherlands,348000000000,1.78,63.0,0.33
AMZN,27.26441796942917,0.4975013507863899,0.0,0.121088624658119,1,26.96545602792466,0.2989619415045155,Communication Services,Information Technology Services,United States,360000000000,0.9,25.0,0.2
APH,23.76047434322548,0.6271838926618999,0.0,0.2145402077551905,1,23.258786383717137,0.5016879595083452,Communication Services,Consumer Electronics,Ireland,267000000000,0.97,32.0,0.27
API,18.764674621972425,0.2194580771849635,0.3931673011619416,0.0326823838915309,0,18.89486313001952,-0.1301885080470946,Consumer Cyclical,Information Technology Services,Netherlands,268000000000,0.98,33.0,0.28
APPF,20.624192428623005,0.2124746177973691,0.2006295522752597,0.0626551715576741,0,19.97224163146624,0.6519507971567684,Communication Services,Semiconductors,United States,345000000000,1.75,60.0,0.3
APPN,20.37103893361936,1.0679683827623865,0.2367723857190362,0.5391061452513967,0,19.963959622927774,0.4070793106915822,Technology,Semiconductors,Netherlands,353000000000,0.83,18.0,0.13
ASML,24.201866151224632,0.6121511036929514,0.1417392747957211,0.1825496753729337,1,23.776011513826838,0.4258546373977978,Communication Services,Consumer Electronics,United States,351000000000,0.81,16.0,0.11
ASYS,18.15424110747637,0.4251827764797088,0.034355791962916,0.0,0,18.48175702845973,-0.3275159209833624,Consumer Cyclical,Software - Infrastructure,United States,370000000000,1.0,35.0,0.3
ATEN,19.46241638628272,0.6641129986202253,0.2293940979065182,0.1605648951745527,0,19.451506575979543,0.0109098103031755,Consumer Cyclical,Software - Infrastructure,United States,346000000000,1.76,61.0,0.31
AUDC,19.314413604387305,0.469695374899387,0.2117104810693766,0.1702386212991604,0,19.432619780278443,-0.1182061758911388,Technology,Consumer Electronics,United States,335000000000,1.65,50.0,0.2
AVGO,24.88038173475309,0.5248638159586655,0.1718189929093556,0.0,1,24.225906070232288,0.6544756645208025,Communication Services,Consumer Electronics,United States,351000000000,0.81,16.0,0.11
AWRE,16.63152859258591,0.2972980239279473,0.4749787085073655,0.0,0,16.588599155245706,0.0429294373402022,Technology,Semiconductors,Netherlands,353000000000,0.83,18.0,0.13
AXTI,18.283666363672975,0.2285182051453483,0.1279791895152353,0.0471516718591031,0,18.76510697778673,-0.4814406141137475,Communication Services,Information Technology Services,United States,360000000000,0.9,25.0,0.2
BAND,20.44349698323127,0.6200239971043874,0.1696563430961072,0.1881794668581925,0,20.16666151000712,0.2768354732241498,Communication Services,Consumer Electronics,Ireland,327000000000,1.57,42.0,0.12
BIRD,18.84245217833484,0.6717754686114843,0.0,0.0,0,19.51181850111194,-0.6693663227771012,Communication Services,Consumer Electronics,United Kingdom,339000000000,1.69,54.0,0.24
BL,20.348211727768263,0.788892873563741,0.1550131582103634,0.2174151944928257,0,20.07497346815684,0.2732382596114213,Communication Services,Information Technology Services,Ireland,192000000000,1.22,57.0,0.27
CDNS,22.37038227006692,0.4608390422359646,0.3320744030879273,0.275948448093138,1,21.993508849673677,0.3768734203932453,Consumer Cyclical,Software - Infrastructure,United States,346000000000,1.76,61.0,0.31
CEVA,18.512329684136507,0.1334119756037253,0.6827953064836949,0.0,0,18.60784887046392,-0.0955191863274151,Consumer Cyclical,Semiconductors,Ireland,337000000000,1.67,52.0,0.22
